What is south of the bathroom?,office,The office is north of the bathroom.
Is John in the kitchen?,no,John travelled to the garden.
Is John in the bedroom?,yes,John travelled to the bedroom.
Is Sandra in the bedroom?,yes,Sandra went to the bedroom.
Is Mary in the hallway?,no,Mary is in the bedroom.
Where is John?,kitchen,Mary and John travelled to the kitchen.
Where is Mary?,hallway,Mary travelled to the hallway.
Is Sandra in the bedroom?,no,Sandra went to the kitchen.
Is John in the bathroom?,no,John went to the bedroom.
Where is John?,bedroom,John moved to the bedroom.
What is east of the hallway?,kitchen,The hallway is east of the kitchen.
 What did John give to Mary?,apple,John gave Mary the apple.
Is Mary in the hallway?,no,Mary is not in the hallway.
Is John in the office?,no,John journeyed to the hallway.
Where is Sandra?,kitchen,John and Sandra travelled to the kitchen.
What is the bathroom east of?,kitchen,The kitchen is west of the bathroom.
Is Mary in the hallway?,no,Mary travelled to the kitchen.
Where is Sandra?,garden,Sandra journeyed to the garden.
Is Mary in the garden?,yes,Mary journeyed to the garden.
Where is Mary?,garden,Mary moved to the garden.
Where is John?,office,John and Mary journeyed to the office.
Is Daniel in the bedroom?,no,Daniel moved to the garden.
Is Mary in the bedroom?,yes,Mary is in the bedroom.
Where is John?,garden,Sandra and John went to the garden.
Where is Daniel?,hallway,Mary and Daniel went to the hallway.
Where is John?,hallway,John and Mary went to the hallway.
Where is Sandra?,bathroom,Sandra went to the bathroom.
Where is Mary?,bathroom,Mary and Sandra went to the bathroom.
 What did John give to Daniel?,milk,John gave Daniel the milk.
Is Mary in the bathroom?,no,Mary travelled to the kitchen.
Who received the apple?,Sandra,John gave Sandra the apple.
Is Sandra in the hallway?,yes,Sandra travelled to the hallway.
What is the bathroom west of?,garden,The garden is east of the bathroom.
Is John in the hallway?,yes,John travelled to the hallway.
Who did Sandra give the football to?,Mary,Sandra gave Mary the football.
Where is Daniel?,garden,Sandra and Daniel moved to the garden.
Where is John?,kitchen,Sandra and John travelled to the kitchen.
What is the hallway east of?,bathroom,The hallway is east of the bathroom.
Where is John?,office,Mary and John travelled to the office.
Where is Mary?,hallway,Mary and Sandra travelled to the hallway.
Where is Daniel?,office,Daniel went to the office.
What is the kitchen west of?,hallway,The kitchen is west of the hallway.
Where is John?,office,Sandra and John went to the office.
Is Sandra in the hallway?,no,Sandra moved to the kitchen.
What is east of the bathroom?,office,The office is west of the bathroom.
 Who did John give the milk to?,Daniel, John gave Daniel the milk.
Where is Mary?,bathroom,Mary and Daniel went to the bathroom.
Is Mary in the office?,no,Mary travelled to the hallway.
Where is Daniel?,office,Daniel journeyed to the office.
What is south of the garden?,kitchen,The kitchen is north of the garden.
Is Sandra in the bathroom?,no,Sandra is no longer in the bathroom.
Where is John?,office,John and Sandra moved to the office.
Where is Mary?,bedroom,John and Mary journeyed to the bedroom.
Where is John?,hallway,Daniel and John travelled to the hallway.
Where is Daniel?,office,Daniel and John travelled to the office.
Where is Daniel?,kitchen,Mary and Daniel journeyed to the kitchen.
 Who received the apple?,John, Mary gave John the apple.
 Who received the apple?,John,Mary gave John the apple.
Who did Daniel give the football to?,Sandra,Daniel gave Sandra the football.
Is Daniel in the hallway?,yes,Daniel is in the hallway.
Is Sandra in the kitchen?,yes,Sandra travelled to the kitchen.
What is the kitchen east of?,garden,The kitchen is east of the garden.
Where is John?,bedroom,John journeyed to the bedroom.
Where is Daniel?,garden,Daniel journeyed to the garden.
Where is Sandra?,bathroom,Sandra travelled to the bathroom.
What is the hallway east of?,bedroom,The bedroom is west of the hallway.
Is Sandra in the bedroom?,no,Sandra moved to the hallway.
What did John give to Mary?,apple,John gave Mary the apple.
Where is Daniel?,bedroom,Daniel and John went to the bedroom.
Where is Sandra?,bathroom,Sandra and Daniel went to the bathroom.
Is Daniel in the bathroom?,yes,Daniel went to the bathroom.
Where is Mary?,kitchen,Mary and Sandra went to the kitchen.
Is Sandra in the kitchen?,no,Sandra is no longer in the kitchen.
Where is Mary?,hallway,Mary went to the hallway.
Is Sandra in the hallway?,no,Sandra travelled to the bedroom.
Who did Sandra give the football to?,Daniel,Sandra gave Daniel the football.
Where is Daniel?,office,Sandra and Daniel went to the office.
Where is Sandra?,hallway,Sandra and John went to the hallway.
Where is Sandra?,bedroom,Sandra travelled to the bedroom.
Is Sandra in the bedroom?,no,Sandra travelled to the office.
 Who did John give the milk to?,Sandra,John gave Sandra the milk.
Where is Daniel?,bedroom,John and Daniel journeyed to the bedroom.
Where is Sandra?,bedroom,Mary and Sandra journeyed to the bedroom.
Is Sandra in the bathroom?,no,Sandra is in the garden.
Is Sandra in the garden?,no,Sandra journeyed to the bedroom.
Where is Sandra?,bedroom,Sandra moved to the bedroom.
Where is John?,bedroom,Sandra and John moved to the bedroom.
Who received the apple?,Mary,John gave Mary the apple.
Where is Daniel?,kitchen,Mary and Daniel travelled to the kitchen.
Is John in the bathroom?,no,John moved to the bedroom.
Where is John?,garden,Sandra and John travelled to the garden.
Is Sandra in the bathroom?,no,Sandra travelled to the office.
Where is John?,office,John moved to the office.
Who did John give the apple to?,Sandra,John gave Sandra the apple.
Is Sandra in the garden?,no,Sandra went to the hallway.
 What did John give to Sandra?,apple,John gave Sandra the apple.
Where is Mary?,hallway,John and Mary journeyed to the hallway.
Where is Sandra?,garden,Mary and Sandra journeyed to the garden.
Where is John?,garden,John went to the garden.
Where is John?,garden,John journeyed to the garden.
Where is Daniel?,kitchen,Daniel and Mary went to the kitchen.
Where is Sandra?,hallway,Sandra journeyed to the hallway.
Is Daniel in the hallway?,yes,Daniel journeyed to the hallway.
